score,content,cleaned_text,manual_label
3,"Halo ruangguru, awal nya saya memakai ruangguru berjalan dengan lancar dan memuaskan. namun tiba"" akun saya logout sendiri dan tiba"" fitur 'screenshot' di aplikasi tidak bisa di gunakan dan selalu loading lama, dan hasil 'screenshot' nya juga tidak bisa dilihat lagii. padahal fitur itu betul"" saya butuhkan. karena di apk tidak bisa screenshot manual dari bawaan hp. dan saat sesudah loading pasti menampilkan tulisan 'terjadi pada kesalahan sistem kami'. tolong ruangguru segera perbaiki",halo pakai jalan lancar muas akun logout fitur screenshot aplikasi loading hasil screenshot lagi fitur butuh aplikasi screenshot manual bawa loading tampil tulis salah sistem tolong baik,negatif
5,"RUANGGURU EMANG SEBAGUS ITU TOPMARKOTOP COCOK BANGET BUAT YANG NGINCER UNIVERSITAS TOP 3🥰 banyak fiturnya, bisa ketemu temen temen yang saling ngedukung buat belajar dan menggapai impian, interaksi dengan gurunya juga asik jadi ga bikin ngantuk kalau lagi belajar, kita bisa nanya dan guru nya pasti bakal jawab, dalam satu sesi tu ada satu guru dan satu pengawas, kalau habis sesi juga kita bisa langsung ngerjain drill soal BANYAK YANG MAU AKU JELASIN TAPI GA BISAA LOPYUUU RUANGGURU 🥰🥰🥰💝💝💝",emang bagus topmarkotop banget buat yang ngincer universitas fiturnya temu temen ngedukung ajar gapai impi interaksi guru asik tidak ngantuk ajar nanya sesi awas habis sesi langsung ngerja drill banyak yang jelas tapi tidak bisaa lopyu,positif
5,"aplikasinya helpful bangett, paling suka fitur rangkuman, fitur pembagian video,fitur pencari materi,roboguru. krn memudahkan buat nyari materi yg diinginkan di waktu terbatas. (waktu mendekati ujian) . drill soalnya juga membantu, tp kadang kadang, ada bbrp soal yg muncul berulang. saran utk vid pembelajaran kasi subtitle otomatis,biar pas keadaannya ga memungkinkan,ttp bisa pahami isi video. kl bisa khusus yg udh langganan tlg jgn terlalu dksh banyak pop up iklan,sedikit disturbing.",aplikasi helpful banget suka fitur rangkum fitur bagi videofitur cari materiroboguru karena mudah nyari materi batas dekat drill bantu tapi kadang bbrp muncul ulang saran ajar kasi subtitle otomatisbiar tidak mungkinkanttp paham video kalau khus sudah langgan dksh iklansedikit sturbing,positif
4,"Alhamdulillah selama saya mendaftar di ruang guru ini alhamdulilah nilai saya mulai membaik, ya memang tidak langsung 100% benar TPI udah mulai meningkat, dan menurut saya saat saya melihat video pembelajarannya itu mudah difahami, apalagi saya sukanya terkadang ada kuis nya🤩 yuk buruan teman daftar juga, ga maksa yaa,,, yang minat buruan daftar 😉👍",alhamdulillah daftar alhamdulilah nilai baik langsung sudah tingkat video ajar mudah fahami suka terkadang kuis buru teman daftar tidak maksa minat buru daftar,positif
1,"Maaf, kenapa, ya? Ketika aku masuk aplikasinya, selalu muncul notifikasi ""Ruangguru tidak ada tanggapan"" dan walaupun udah refresh berkali-kali, bahkan sampai uninstall aplikasinya tetap seperti itu.",maaf tika masuk aplikasi muncul notifikasi tanggap sudah refresh kali uninstall aplikasi,negatif
4,"sebenarnya ini aplikasinya bermanfaat banget, tapi gatau kenapa sering bgt eror, kadang sampe halaman putih gitu, udah dicoba uninstall, terus download lagi masih begitu, ini emang jaringan ku yang salah apa dari sistem dari sananya yg eror",aplikasi manfaat banget gatau banget eror kadang sampe halaman putih gitu sudah coba uninstall download emang jaring salah sistem sana eror,negatif
2,"Aplikasi nya error udah 3 hari gabisa di buka untuk belajar pas di buka layar putih terus hitam keluar lagi gabisa masuk ke apk pdahal saya udah langganan, tolong di perbaiki aplikasi nya",aplikasi error sudah gabisa buka ajar buka layar putih hitam gabisa masuk aplikasi pdahal sudah langgan tolong baik aplikasi,negatif
3,"Aplikasi ruang guru sangat membantu untuk lebih memahami pelajaran karena bisa menonton video, mengikuti live teaching, dan mengerjakan banyak soal Edit: fitur drill soal blum update untuk kurmer sama video ruang belajarnya jg blum lengkap Edit lagi setelah update app: masa pas saya buka bank soal untuk latihan PAS yg ada cuma untuk ipa sm ips? tolong untuk kurmer jg diadakan ya, padahal sebelum update ada untuk kurmer walaupun dikit, sekarang malah gk ada",aplikasi bantu paham ajar video ikut live teaching edit fitur drill blum update kurmer video ajar juga blum lengkap edit update buka bank latih sama tolong kurmer juga update kurmer tidak,negatif
5,"keren! aku langganan BA juga disini, offline class nya seru kakanya ramah². video materi dan latsol di apk ini penjelasannya jelas bangett!! tapi perlu update pembahasan setiap materi mapel biar lebih relevan sama yang diajarkan disekolah.",langgan offline class seru kanya ramah video materi latsol aplikasi jelas banget update bahas materi mapel biar relevan ajar seko,positif
1,"saya baru sekali pake apk ini sekali, tapi setelah beberapa hari ga saya buka aplikasi nya malah ga bisa di buka lagi... padahal saya sudah ambil paket yang 1 tahun, jadi kalo mau pake ini harus log in ulang. ini saya edit, apk ini bener² deh ya masa lama ga di pake pas mau di buka lagi halamannya jadi putih semua ga ada tulisan atau gambar satu pun, awalnya masih optimis bisa dibuka lewat web kaya waktu itu ternyata sama aja putih semua, kecewa ga akan saya pakai lagi apk ini",pake aplikasi tidak buka aplikasi tidak buka ambil paket kalo pake ulang edit aplikasi bener tidak pake buka halaman putih tidak tulis gambar optimis buka kaya saja putih cewa tidak pakai aplikasi,negatif
