score,content,cleaned_text,predicted_label
4,aplikasi nya bagus dan edukatif namun sering lelet dan setiap buka apk loadingnya lama dibandingkan dengan aplikasi lainnya,aplikasi bagus edukatif buka aplikasi loadingnya banding aplikasi,netral
5,"Bagus banget aplikasi nya, bisa belajar dari mana saja, kapan saja, bisa di download, dan pembelajaran nya interaktif.",bagus banget aplikasi ajar download ajar interaktif,positif
4,"menurut saya udah bagus cuman, cara nawarin paket belajarnya terlalu over sih di chat berkali"" dengan nomor yang beda. trs saya mau nanya min ini ngga ada mentoring atau konsultasi, dikasih tau cara biar bisa mencapai target (ptn). soalnya saya liat di bimbel online yang lain ada yang seperti itu dan saya kira di sini juga ada tapi sampai sekarang cuman di masukin grup doang.",sudah bagus cuman nawar paket ajar over chat kali nomor beda terus nanya tidak ntoring konsultasi kasih biar capai target liat bimbel online cuman masuk grup doang,negatif
4,"ini apk bagus, di jelasin detail yang gada di buku, tapi ada materi di buku ga ada di apk ini, kendala yang paling ganggu tuh pas jawab soal akhir, jawaban saya harusnya bener pas akhiri soal tiba tiba jawabnya ke ganti jadi jawaban yang salah, tolong perbaiki buat kedepannya, kadang juga ada materi yg gada di vidio, tiba tiba ada di soal.",aplikasi bagus jelas detail gada buku materi buku tidak aplikasi ndala ganggu bener ganti salah tolong baik depan kadang materi gada vidio,negatif
5,"kak, tolong yah ini aplikasi belajarnya bagus sih, tapi pembelian sama berlangganannya bisa tidak di kurangi, kasian yang mau belajar online supaya cepat paham, tapi harus di suruh berbayar kak ,( mahal banget pils😭!",tolong aplikasi ajar bagus beli langgan kurang kasi ajar online cepat paham suruh bayar mahal banget pils,negatif
5,"aku les di Ruangguru ga nyampe setahun, tapi nilai sama pemahaman aku naik drastis! Di Ruangguru juga ada video buat belajar, jadi walaupun ga klinik pr bisa liat di video belajar kalau belum ngerti. Kalaupun klinik pr, bisa nanya lebih detail karena jawaban kakaknya tergantung pertanyaan kita (≡^∇^≡)",tidak nyampe tahun nilai paham drastis video ajar tidak klinik liat video ajar ngerti kalaupun klinik nanya detail gantung,negatif
1,"ini sebenarnya kenapa ya min? jaringan bagus, internet lancar, tapi kok aplikasi nya gak bisa di buka ya min? padahal udah di perbarui loh min aplikasi nya...mohon segera di tindaklanjuti untuk solusi nya",jaring bagus internet lancar aplikasi buka sudah baru aplikasi nyamohon tindaklanjuti solusi,negatif
3,"Tolong optimalkan sistemnya dong, Tka sudah mau dekat dan setiap saya mencoba buka website maupun apk tidak bisa terbuka yg sangat menghambat padahal simulasi Tka saya sudah depan mata :((",tolong optimal sistem coba buka website aplikasi buka hambat simulasi mata,negatif
4,kenapa kalau nonton kadang harus ada yang kayak lawan ini terus kalo menang baru bisa nonton jadi aku selalu pengen cepet /dilewatin aja gitu ? terimakasih segitu aja kak alesannya,nonton kadang kayak lawan kalo nang nonton cepet lewat saja gitu terima kasih gitu saja alesannya,negatif
3,"semoga bisa lebih lancar apknya, semoga loadingnya ga lama, loading lama bgt pas buka leaderboard, dan susah buat ganti opsi dr nasional ke cabang, nge lag pol",moga lancar apknya moga loadingnya tidak loading banget buka leaderboard susah ganti opsi dari nasional cabang,negatif
4,"bagus banget aplikasinya bisa nonton sambil belajar, tapi waktu aku nyoba latihan nya gak masuk malah langsung ke video tadi mohon di perbaiki",bagus banget aplikasi nonton ajar coba latih masuk langsung video mohon baik,netral
1,bagus sih ngedukung banget buat belajar tapi gak tau kenapa apk nya sering bermasalah kayak tiba-tiba force close dan aplikasi tidak menanggapi,bagus ngedukung banget ajar aplikasi masalah kayak tiba force close aplikasi tanggap,negatif
3,bagus ajasih tapi buat hp yang gak punya email itu gakbisa ngerjain pqs openinhkan disuruh kasih email sama no tlp kan. itu aku gak bisa buka whatsapp jadi begitu jadi saya bertanya mengapa saat openg harus ada yang namanya email dan no hp? mohon di jawab dan di perbaiki,bagus ajasih email gakbisa ngerja openinhkan suruh kasih email buka whatsapp openg nama email mohon baik,negatif
1,"aku udah berlangganan robo guru plus tapi ga bisa digunain lagi gara² iklan airis, udah coba konsultasi trus kasi solusi tapi tetep aja ga bisa",sudah langgan robo plus tidak guna gara iklan sudah coba konsultasi trus kasi solusi saja tidak,negatif
1,tidak bisa buka rangkuman.. padahal jaringan udah bagus dan berlangganan,buka rangkum jaring sudah bagus langgan,negatif
4,"plissss ruangguruuuu, udah tahun ke 2 langganan kenapa kalo abis download video belajar, besoknya ga bisa dinonton??gagal memuat terus katanya😭😭😭",plis sudah langgan kalo abis download video ajar besok tidak nontongal muat,negatif
1,"beli paket mahal buat pakai fitur screenshot ada aja kendala gak bisa, bukan sekali dua kali tapi sering ga bisa",beli paket mahal pakai fitur screenshot saja ndala kali tidak,negatif
4,Aplikasinya mudah banget digunain gaada iklan yang ganggu saat Live Teaching terus aplikasi nya pake bahasa Indonesia jadi mudah dipahami guru-gurunya juga soft spoken banget aku di kelas elit jadi enak kalau mau ngobrol sama temen tinggal pake suara aja tapi sayangnya game nya yg buat belajar error semua gabisa dimainin tolong di cek lagi ya?,aplikasi mudah banget guna gaada iklan ganggu live teaching aplikasi pake bahasa indonesia mudah paham guru soft spoken banget elit enak ngobrol temen tinggal pake suara saja sayang game ajar error gabisa tolong,positif
3,app nya udah bagus tapi kayak masuk itu kadang-kadang disuruh memperbarui,sudah bagus kayak masuk kadang suruh baru,negatif
